fips,Station_C_1,Station_C_2,WBAN_C_1,WBAN_C_2,dist_f_1,dist_f_2,county,state,pop_density,pop
20021,720255,999999,99999,13987,18.13211501,19.01599493,Cherokee,Kansas,33.96543073,19939
20023,720437,720437,99999,00143,3.848896919,3.882429855,Cheyenne,Kansas,2.631658107,2657
20025,724510,722152,13985,53957,37.73982182,57.5999537,Clark,Kansas,2.070519187,1994
20027,722819,724550,53989,99999,13.346874,27.41684243,Clay,Kansas,12.37567663,8002
20029,724580,722819,13984,53989,4.878636651,40.7251351,Cloud,Kansas,12.2578202,8786
20031,722005,999999,99999,13990,4.518702714,14.00394191,Coffey,Kansas,13.02782235,8179
20033,724520,722052,03957,53933,40.06001898,44.03309908,Comanche,Kansas,2.157588577,1700
20035,724502,749097,99999,99999,11.81883887,11.84766808,Cowley,Kansas,31.05197874,34908
20037,720436,720436,00142,99999,7.62267651,7.752311185,Crawford,Kansas,65.86383196,38818
20041,749094,724550,99999,13947,21.42647556,24.29704416,Dickinson,Kansas,21.78079376,18466
20043,724490,724490,13993,99999,11.93599109,12.30308897,Doniphan,Kansas,19.32284456,7600
20045,724508,724508,03997,99999,9.564419462,9.633711666,Douglas,Kansas,268.1786124,122259
20047,720431,745430,99999,99999,25.38384951,33.30991167,Edwards,Kansas,4.5143892,2798
20051,724518,724518,03968,99999,5.231127828,5.565830619,Ellis,Kansas,31.71217489,28553
20053,999999,720781,03877,99999,22.07203737,24.46081986,Ellsworth,Kansas,8.546744651,6102
20055,724515,724515,23064,99999,8.137389033,8.868942204,Finney,Kansas,27.96305743,36467
20057,724510,724515,13985,99999,6.905397775,47.86341069,Ford,Kansas,30.59162137,33619
20059,724475,724475,93909,99999,28.23289608,28.56407862,Franklin,Kansas,44.71575869,25544
20061,724550,724550,13947,99999,3.378442006,6.787618696,Geary,Kansas,82.30402771,31670
20063,720434,999999,99999,03067,22.34857596,26.01301952,Gove,Kansas,2.445269017,2636
20067,720439,720417,99999,99999,4.626069851,23.31815781,Grant,Kansas,12.42048793,7150
20069,724515,724515,99999,23064,19.61593609,20.39106776,Gray,Kansas,6.879320679,5988
20073,724556,724556,13989,99999,31.24217194,31.46392712,Greenwood,Kansas,5.27639408,5982
20075,720417,720439,99999,99999,28.92537848,35.55590113,Hamilton,Kansas,2.548438662,2539
20077,999999,724520,13980,03957,1.749120449,27.03066749,Harper,Kansas,6.756711966,5436
20079,724509,724509,53939,99999,8.461186507,8.781441418,Harvey,Kansas,63.82726041,34429
20081,724515,724515,99999,23064,25.91517692,26.43400291,Haskell,Kansas,6.89924812,3968
20083,724510,720431,13985,99999,22.33535031,44.90683385,Hodgeman,Kansas,2.059916493,1794
20085,724560,724565,13996,13920,25.40558179,33.00573125,Jackson,Kansas,20.05686376,13171
20087,724560,724508,13996,99999,17.18938834,17.91094656,Jefferson,Kansas,35.74420684,19043
20089,724580,722124,13984,04998,34.22549849,41.85047684,Jewell,Kansas,3.18121547,2879
20091,724475,724468,99999,03967,4.794298381,5.05325251,Johnson,Kansas,1272.596314,602401
20093,720439,724515,99999,23064,27.53359726,32.7983524,Kearny,Kansas,4.439225547,3838
20097,745430,745430,99999,93978,30.92318633,31.12239509,Kiowa,Kansas,3.39306698,2475
20099,745431,745431,03998,99999,14.7660339,14.82321991,Labette,Kansas,30.41620771,19618
20101,720438,999999,99999,03067,22.64768229,37.92670844,Lane,Kansas,2.105142857,1535
20103,724567,724508,13921,99999,13.26885781,16.17020615,Leavenworth,Kansas,176.6505648,81758
20107,999999,720478,93995,99999,28.3221618,38.66053933,Linn,Kansas,16.37933927,9703
20109,999999,720434,03067,99999,10.49716864,22.26885985,Logan,Kansas,2.635849057,2794
20111,724556,724556,99999,13989,8.835173339,9.088963209,Lyon,Kansas,39.21522707,33195
20113,999999,724506,03877,99999,19.65370614,24.96398846,McPherson,Kansas,31.78941056,28542
20115,724509,724509,53939,99999,22.29757373,22.74260901,Marion,Kansas,12.57864139,11884
20117,725515,725515,99999,94947,37.64765024,37.7810355,Marshall,Kansas,10.74611051,9707
20119,724516,724516,99999,23020,35.1462162,35.55512056,Meade,Kansas,4.143191257,4033
20121,724475,724475,93909,99999,18.75461065,18.77051961,Miami,Kansas,59.52081618,34237
20123,724580,724585,13984,93997,31.71800842,48.05975835,Mitchell,Kansas,8.537407814,5979
20125,749099,720426,99999,00141,2.229249995,3.068566345,Montgomery,Kansas,49.44258408,31829
20127,749094,724550,99999,13947,9.052521309,25.8263187,Morris,Kansas,8.065169678,5620
20129,724604,724600,99999,99999,13.88677869,13.95225959,Morton,Kansas,3.520816579,2587
20131,725533,725533,99999,94957,30.15853454,30.3282104,Nemaha,Kansas,14.2739438,10231
20133,724507,745431,13981,99999,12.38152799,18.84901288,Neosho,Kansas,28.01612766,16007
20135,724518,724518,99999,03968,42.79632301,43.38148165,Ness,Kansas,2.56678468,2750
20137,720433,724655,99999,93990,4.554384869,28.48710192,Norton,Kansas,6.144683477,5361
20139,999999,724565,13990,13920,15.66532405,20.83921423,Osage,Kansas,22.60950598,15949
20141,724585,724518,93997,03968,32.85179514,43.72113814,Osborne,Kansas,3.812934163,3421
20143,724586,724586,03919,13922,22.98041121,24.15499571,Ottawa,Kansas,7.959940896,5704
20145,720431,724517,99999,13940,8.407702273,23.19797269,Pawnee,Kansas,8.462469525,6414
20147,720433,724655,99999,93990,29.43749784,38.18974315,Phillips,Kansas,5.937185395,5234
20149,999999,724555,53974,99999,23.8444572,24.29604045,Pottawatomie,Kansas,29.00588317,24383
